Codigo,CANTON,PET2017,VAB2017_NP,VAB2017,Inversion_Pub,Inversion_Priv,PEA2017,POB2017
101,Cuenca,439892,4392835893.29121,4392835893.29121,84341013.06642,32598562.84,294069.870904963,603269
102,Girón,9287,24249679.8475349,24249679.8475349,147026.45,55205,5454.26984126984,13134
103,Gualaceo,32289,86428228.8732487,86428228.8732487,3762743.58924,547100,22243.5333333333,47855
104,Nabón,11261,24631368.1474492,24631368.1474492,1137157.93704,840,8711.33962264151,17145
105,Paute,19824,70149102.9086368,70149102.9086368,1268302.7511,25135,13748.9032258065,28500
106,Pucará,6779,11837136.4507378,11837136.4507378,69191.73,629000,6116.39097744361,10603
107,San Fernando,3009,8069751.41070953,8069751.41070953,291349.73284,1600,2364.21428571429,4179
108,Santa Isabel,14206,44074283.5071931,44074283.5071931,670798.82306,113850,12914.5454545455,20467
109,Sigsig,19683,47518095.7814,47518095.7814,1796621.2101,104232,16318.3846153846,29864
110,Oña,2818,5989750.65619522,5989750.65619522,104172.9076,8550,,4020
111,Chordeleg,10026,22239108.9304083,22239108.9304083,554963.3654,200800,7535.88235294118,14568
112,El Pan,2356,7839121.60522616,7839121.60522616,660195.43,840,,3129
113,Sevilla De Oro,4788,217887198.828498,217887198.828498,1074229.73,2440,2641.65517241379,6678
114,Guachapala,2713,7815406.49934466,7815406.49934466,477215.5021,400,,3780
115,Camilo Ponce Enríquez,21833,42355855.1866691,42355855.1866691,545110.58208,275715,15084.6181818182,31668
201,Guaranda,66554,399461528.245537,399461528.245537,6872877.61092,42340,50471.0913884007,105153
202,Chillanes,11300,29140847.1225745,29140847.1225745,140593.381,1,8710.9785202864,17350
203,Chimbo,11742,32925770.0925035,32925770.0925035,536753.162,1600,9256.92063492063,17185
204,Echeandía,9104,33187390.685067,33187390.685067,206940.47,1,6414.18181818182,13692
205,San Miguel,19933,52244771.0140708,52244771.0140708,4490522.9732,2000,13490.7756653992,28989
206,Caluma,10488,65970382.3567862,65970382.3567862,240874.94,800,6992,15610
207,Las Naves,4639,21746931.8432829,21746931.8432829,159027.79,1,3428.82608695652,7115
301,Azogues,58129,420518448.067589,420518448.067589,8413298.80059,524206,38385.6906565657,82497
302,Biblián,16401,73876234.6449085,73876234.6449085,2288646.9012,3500,15717.625,23253
303,Cañar,44167,192390382.807953,192390382.807953,2824398.44893,80478,32019.2003395586,66996
304,La Troncal,46675,348740278.563433,348740278.563433,2529773.73177,1028805,28947.7951635846,70401
305,El Tambo,7602,56500675.7113796,56500675.7113796,1446409.43935,6600,6120.25423728814,11673
306,Déleg,4882,16720708.3631081,16720708.3631081,1528495.40639,800,2557.2380952381,6695
307,Suscal,4047,15269623.9484269,15269623.9484269,111246.8923,1690,3179.78571428571,6128
401,Tulcán,70543,418863924.047073,418863924.047073,8620525.7103,34020,47130.2091301666,98868
402,Bolívar,10917,42550346.1326089,42550346.1326089,1862757.853,1,7241.42713567839,15420
403,Espejo,10018,57098244.816495,57098244.816495,574274.9759,1,6600.09411764706,13918
404,Mira,8792,28006722.4614521,28006722.4614521,1461364.26965,1,5920.41935483871,12250
405,Montúfar,24171,88990171.7135991,88990171.7135991,1959942.1965,40556,15569.8909090909,33611
406,San Pedro de Huaca,6196,27391615.5238202,27391615.5238202,434263.93,1,4072.4882629108,8652
501,Latacunga,136862,1177781051.33787,1177781051.33787,12936842.97807,4865579,98903.4516568316,197277
502,La Maná,34727,155377444.362638,155377444.362638,347406.27,13790,20411.5305719921,52728
503,Pangua,15565,43158850.7821587,43158850.7821587,1248233.22,1000,11646.5384615385,24164
504,Pujilí,48914,135835562.200322,135835562.200322,7795239.905,15350,35479.8732394366,77573
505,Salcedo,45747,255064324.305196,255064324.305196,7025672.3654,13894,36991.8707224335,65296
506,Saquisilí,19040,43965515.4100031,43965515.4100031,2004726.4807,1053,12904.8888888889,29881
507,Sigchos,14027,26607913.7382734,26607913.7382734,857924.2837,858800,11872.8535714286,23248
601,Riobamba,185544,1439924903.58698,1439924903.58698,6305530.5951,12929938.77,121194.283146067,255766
602,Alausí,28522,69262760.4730554,69262760.4730554,2179284.7893,1420,23174.125,45525
603,Colta,32747,61455698.6580222,61455698.6580222,5942216.4296,3850,28393.3526011561,45658
604,Chambo,9195,28318170.9758362,28318170.9758362,219377.874,8000,8063.30769230769,13116
605,Chunchi,8421,30696590.6166936,30696590.6166936,760074.74978,1,5302.11111111111,12982
606,Guamote,33257,93129124.5813325,93129124.5813325,3933336.50891,800,29767.0679012346,54746
607,Guano,32794,89211448.6072444,89211448.6072444,2917357.3185,3940,27400.25,47394
608,Pallatanga,7963,21669836.7621039,21669836.7621039,453915.8603,5390,6825.42857142857,12251
609,Penipe,5216,14546779.2676396,14546779.2676396,4940380.5397,1,4436.59770114943,7006
610,Cumandá,10889,51794941.8077309,51794941.8077309,457994.28,5200,7538.53846153846,16491
701,Machala,202015,2053875465.87283,2053875465.87283,20261672.3907,17373944,135010.92734657,279887
702,Arenillas,22597,75319141.7424861,75319141.7424861,2528712.3833,59680,17046.8596491228,31809
703,Atahualpa,4821,13087144.4534709,13087144.4534709,360301.437,1,,6355
704,Balsas,5920,42479428.3726758,42479428.3726758,301412.8526,1,3854.88372093023,8567
705,Chilla,1666,6404282.51313533,6404282.51313533,430702.39,1,,2455
706,El Guabo,41216,324224101.894933,324224101.894933,5289915.98,1028250,28773.4339622641,60095
707,Huaquillas,39064,155579938.823851,155579938.823851,7063160.2623,4010,29617.1503267974,57366
708,Marcabelí,4208,13324362.6667901,13324362.6667901,100761.02,1,2778.8679245283,6103
709,Pasaje,60693,247760423.541651,247760423.541651,5814329.75766,57777,39800.8562091503,84262
710,Piñas,21647,107373645.905328,107373645.905328,2217797.5842,63300,14117.6086956522,29343
711,Portovelo,10039,54705809.0285181,54705809.0285181,157474.12,277260,7461.41891891892,13673
712,Santa Rosa,56950,278048946.158341,278048946.158341,6165263.6404,212264,35865.8953722334,79231
713,Zaruma,18835,86562672.7667251,86562672.7667251,4079585.0198,118012,12325.8455882353,25615
714,Las Lajas,3650,8690869.95928943,8690869.95928943,574084.14,1,2092.66666666667,4999
801,Esmeraldas,143357,1005363954.02065,1747074603.6892,4943545.2719,1798900,87772.7125333333,212952
802,Eloy Alfaro,26622,185522163.291372,185522163.291372,3323148.12024,110000,16498.1408450704,44497
803,Muisne,19032,88988282.4822039,88988282.4822039,3720485.9366,5800,11443.2911392405,30811
804,Quinindé,89000,655491210.319848,655491210.319848,12734880.81,1776880,58996.7585089141,140670
805,San Lorenzo,33791,97150759.4287623,97150759.4287623,1524868.06355,5028596,19398.537037037,56570
806,Atacames,32858,180831393.901079,180831393.901079,334118.0964,18200,20000.5217391304,51607
807,Rioverde,18548,92216378.0737896,92216378.0737896,2431382.27,1,12138.0294117647,30503
901,Guayaquil,1922667,20554798446.343,20554798446.343,80576870.64743,539377575.24,1277633.97761751,2644891
902,Alfredo Baquerizo Moreno,20690,48995574.2473778,48995574.2473778,880595.3628,150800,,30259
903,Balao,16742,59324109.6603756,59324109.6603756,53209.3032,10960,9940.5625,24777
904,Balzar,39402,93144153.7131544,93144153.7131544,1294660.7334,52000,23338.1076923077,59186
905,Colimes,17334,51700385.7891642,51700385.7891642,837156.17,2600,9880.38,25702
906,Daule,111023,456849940.332743,456849940.332743,28230379.59754,7216800,77492.5637583893,157446
907,Durán,206878,1484310228.85037,1484310228.85037,23394413.12592,129162397.42,137586.33253012,293005
908,El Empalme,55470,159109751.799729,159109751.799729,1620507.36,154600,39126.1607142857,83639
909,El Triunfo,36657,144317092.692394,144317092.692394,1032037.3118,1075400,28197.6923076923,55439
910,Milagro,136033,501543890.921812,501543890.921812,5208518.1104,1588886,87187.1737451738,191970
911,Naranjal,58934,259564133.478815,259564133.478815,1845993.47224,24110,34824.6363636364,87439
912,Naranjito,29676,70970629.598846,70970629.598846,1276254.02,250000,21139.0684931507,42355
913,Palestina,12365,38970966.6594543,38970966.6594543,2673446.87,4401,,17966
914,Pedro Carbo,33773,68886197.095988,68886197.095988,1092330.8147,4400,18912.88,49850
916,Samborondón,66674,845010904.03634,845010904.03634,26494890.3092,61381780.24,43193.1565217391,91434
918,Santa Lucía,30735,53451001.9407051,53451001.9407051,1282947.0683,15800,15367.5,43730
919,Salitre (Urbina Jado),43981,56280807.1987804,56280807.1987804,2463266.5005,7200,29008.7446808511,64087
920,Yaguachi,49488,259892479.133041,259892479.133041,8623991.65108,609968,36112.8648648649,73557
921,Playas (General Villamil),37103,108585167.72864,108585167.72864,12544853.8337,32651,,54308
922,Simón Bolívar,20964,98573330.7611503,98573330.7611503,1712135.9,41600,,30446
923,Coronel Marcelino Maridueña,9350,251648140.294212,251648140.294212,1224736.71,1480902,,12993
924,Lomas De Sargentillo,15445,30154825.050796,30154825.050796,20000,800,,22603
925,Nobol,16640,46728280.8265465,46728280.8265465,838437.9705,983855,8994.5945945946,24484
928,Isidro Ayora,8826,43281190.7166277,43281190.7166277,725975.39808,1101800,,13525
1001,Ibarra,152567,1116066052.87847,1116066052.87847,12846821.58823,901166,98738.5594989562,211235
1002,Antonio Ante,36366,142208098.552827,142208098.552827,2509116.635,340500,22636.9166666667,51517
1003,Cotacachi,28775,106695152.109887,106695152.109887,3725151.9,14502,19327.7861445783,43568
1004,Otavalo,81715,420506184.888097,420506184.888097,12455177.93641,859320,52507.6305220884,120808
1005,Pimampiro,9493,15191594.2174029,15191594.2174029,1280147.44996,1,6354.81818181818,13394
1006,San Miguel De Urcuquí,11867,45449594.3590966,45449594.3590966,2076126.928,525200,7427.24825174825,17215
1101,Loja,185127,1275330690.38506,1275330690.38506,11421625.85253,1314524,120043.2890625,258767
1102,Calvas,20613,51997930.9043729,51997930.9043729,4467534.84838,1,14522.7954545455,29674
1103,Catamayo,23936,93963018.8652854,93963018.8652854,3360254.32451,1300,15387.4285714286,34845
1104,Celica,10719,21212179.6588841,21212179.6588841,63802.665,840,6048.57857142857,15904
1105,Chaguarpamba,4910,18964482.5161926,18964482.5161926,73324.76,800,3455.18518518519,6912
1106,Espíndola,9732,21755324.0859828,21755324.0859828,777158.84402,800,6962.12307692308,14662
1107,Gonzanamá,8315,22408976.3632911,22408976.3632911,1418302.67507,1,5704.47674418605,11692
1108,Macará,14165,51198316.2423565,51198316.2423565,1863612.7543,10400,8776.14130434783,20242
1109,Paltas,16454,36163641.4945413,36163641.4945413,1252742.83393,1360,10577.5714285714,24017
1110,Puyango,11279,31990945.1869636,31990945.1869636,4733603.1058,1,8715.59090909091,16092
1111,Saraguro,21168,57799432.1359248,57799432.1359248,1735414.5597,155830,16434.7826086957,33038
1112,Sozoranga,5040,9706744.12990114,9706744.12990114,643773.48,1,2887.5,7362
1113,Zapotillo,9514,20775895.6067954,20775895.6067954,155549.18401,450,6618.4347826087,13918
1114,Pindal,6788,17237031.8905686,17237031.8905686,29655.1,400,4447.31034482759,10093
1115,Quilanga,3114,9734370.08905897,9734370.08905897,193014.71,1,,4320
1116,Olmedo,3163,11251088.1273742,11251088.1273742,284782.1095,800,1790.37735849057,4497
1201,Babahoyo,119366,905261666.342864,905261666.342864,6118302.7845,1330100,76270.2233766234,171038
1202,Baba,28994,150039778.381143,150039778.381143,13138039.2838,3600,22399.2862745098,42920
1203,Montalvo,19381,92639189.4976443,92639189.4976443,1149773.9844,102400,11550.2929292929,27661
1204,Puebloviejo,28266,177450653.006906,177450653.006906,2210415.7837,61076,22516.9830508475,42657
1205,Quevedo,139637,1067320548.64006,1067320548.64006,11283121.47138,5023950,88180.8692421991,203650
1206,Urdaneta,21954,114363553.453558,114363553.453558,2623787.4923,583094,13706.7301587302,32052
1207,Ventanas,48788,266604172.906027,266604172.906027,1603822.7685,8110,35511.2655737705,73544
1208,Vinces,54929,200092065.4974,200092065.4974,5779597.298,41751,37828.4622641509,80165
1209,Palenque,15682,68375770.8348082,68375770.8348082,1765145.27,1,12181.5535714286,23602
1210,Buena Fé,50948,227261573.648776,227261573.648776,2001740.035,68120,35963.2941176471,77878
1211,Valencia,33888,243389963.127041,243389963.127041,3085716.23,3414866,21889.3779904306,51365
1212,Mocache,28417,131640448.453088,131640448.453088,3017891.1876,4400,18250.5732758621,42403
1213,Quinsaloma,12863,30990011.7928705,30990011.7928705,1267164.52,23200,10290.4,19416
1301,Portoviejo,225783,1511708085.88483,1511708085.88483,17510473.13349,2272769.98,138842.054842474,313576
1302,Bolívar,31480,93262750.286593,93262750.286593,4064812.30681,15600,22915.5882352941,44729
1303,Chone,91446,314327442.461208,314327442.461208,11540936.9587,41550,65709.7005988024,131877
1304,El Carmen,70740,220170626.211502,220170626.211502,3151407.69,698300,52701.3,105660
1305,Flavio Alfaro,16520,44499751.8946653,44499751.8946653,516538.5,2840,10253.7931034483,24615
1306,Jipijapa,54212,106721571.691938,106721571.691938,4136933.71808,5900,31603.4080717489,74819
1308,Manta,182664,1996747329.14512,1996747329.14512,4466945.66,18956052.7,108319.752,256293
1309,Montecristi,65748,756876044.10374,756876044.10374,4531949.4183,6965577,42320.5517241379,95965
1310,Paján,26224,52317790.613818,52317790.613818,6460998.79923,7000,17638.7619047619,37746
1311,Pichincha,19626,41737304.3011504,41737304.3011504,1305381.61,1,10762.6451612903,30329
1312,Rocafuerte,26383,51654979.7475919,51654979.7475919,6757026.58,4600,15023.6527777778,36705
1313,Santa Ana,33739,58607525.3915465,58607525.3915465,3185557.3272,2800,20711.0693069307,48763
1314,Sucre,43973,197855947.628961,197855947.628961,3047738.09924,456240,29838.8214285714,61819
1315,Tosagua,29317,110978774.269438,110978774.269438,462082.76,15680,16879.4848484848,41746
1316,24 De Mayo,20313,32840101.234383,32840101.234383,2082321.72499,845,11607.4285714286,29126
1317,Pedernales,37879,124031017.130991,124031017.130991,966872.61,849582,34176.5413533835,61792
1318,Olmedo,6961,13252002.9225419,13252002.9225419,1184649.9469,1,,10262
1319,Puerto López,15904,41454460.0622037,41454460.0622037,393625.55073,6175,8482.13333333333,23689
1320,Jama,16889,29398940.0787148,29398940.0787148,802945.72677,206600,13511.2,25632
1321,Jaramijó,16477,245194829.195548,245194829.195548,2222480.19,4009820,9986.06060606061,25294
1322,San Vicente,16797,43655018.8327597,43655018.8327597,218721.14,58070,13481.8026315789,24320
1401,Morona,33962,214932445.597981,214932445.597981,4661633.75481,7850,26612.0149253731,53475
1402,Gualaquiza,12104,53468720.5110813,53468720.5110813,2084814.94973,2600,9447.94984326019,19206
1403,Limón-Indanza,6441,32270118.6997686,32270118.6997686,681522.1581,2550,5108.37931034483,10383
1404,Palora,4800,13369189.5106586,13369189.5106586,1048029.85898,1350,3699.08256880734,7637
1405,Santiago,6799,37254292.4757213,37254292.4757213,303917.09184,2600,5018.30952380952,10734
1406,Sucúa,14083,64764009.4022518,64764009.4022518,528188.83251,14604,11229.9784482759,22449
1407,Huamboya,6002,16716879.4527896,16716879.4527896,958700.26904,1600,5014.82894736842,11247
1408,San Juan Bosco,2844,13339591.9757821,13339591.9757821,66606.0179,2940,2159.33333333333,4726
1409,Taisha,12797,26377870.7370445,26377870.7370445,673849.6167,900,11477.309375,24373
1410,Logroño,4010,15765053.4718193,15765053.4718193,1643545.28781,400,3385.06493506494,7142
1411,Pablo VI,1499,5200563.78467195,5200563.78467195,287761.07454,1,1217.9375,2564
1412,Tiwintza,5617,12084618.8969131,12084618.8969131,421816.134,2300,4493.6,9792
1501,Tena,46383,255159287.248106,255159287.248106,11836376.7409,31320,37001.5138190955,74158
1503,Archidona,18684,58780281.4234725,58780281.4234725,1049310.4104,3800,14772.4276169265,30795
1504,El Chaco,6364,125890561.56879,125890561.56879,1339037.07339,1972,4960.17647058824,9560
1507,Quijos,4787,32522067.8043494,32522067.8043494,2711215.0664,800,3739.2017167382,6757
1509,Carlos Julio Arosemena Tola,2654,7280218.6030207,7280218.6030207,278660.01,1,2223.62162162162,4268
1601,Pastaza,51001,288879903.034385,576762063.178227,21779664.12194,67600,36545.0048869884,77965
1602,Mera,10604,26516616.7978662,26516616.7978662,1271113.35046,1,6700.17754569191,15794
1603,Santa Clara,2576,13748237.8866575,13748237.8866575,943340.1509,1,2259.9263803681,4027
1604,Arajuno,4126,17586790.0408056,17586790.0408056,8320773.6469,400,3295.06944444444,7708
1701,Quito,1943861,24426597899.8174,24426597899.8174,183876078.9513,413698601.4,1204271.11622217,2644145
1702,Cayambe,68085,346480994.851393,346480994.851393,1406500.073,502286,52991.4578313253,102015
1703,Mejía,70308,364640787.910141,364640787.910141,8470310.99439,2082556,47372.1585365854,100650
1704,Pedro Moncayo,26644,304426554.135774,304426554.135774,930504.32229,292600,18791.0315789474,40514
1705,Rumiñahui,79769,803979272.220358,803979272.220358,5343796.25,13347869.27,51712.3172413793,107043
1707,San Miguel De Los Bancos,17188,54142485.9562161,54142485.9562161,517484.72,200800,13631.8620689655,25798
1708,Pedro Vicente Maldonado,10257,41992655.7387956,41992655.7387956,612684.77,375813,6593.78571428571,15983
1709,Puerto Quito,15293,64610640.207223,64610640.207223,1146566.08,1183,11253.3396226415,23823
1801,Ambato,272154,2253824573.01452,2253824573.01452,38230137.32188,19857733,189058.545357238,374068
1802,Baños,17595,179643773.324142,179643773.324142,1938617.5287,3427120,12350.3365384615,23712
1803,Cevallos,7047,30485823.0506364,30485823.0506364,136597.87,2200,6075,9489
1804,Mocha,5487,13489179.6767967,13489179.6767967,55556.8055,1,,7268
1805,Patate,10783,31811499.4598856,31811499.4598856,1121159.0599,1600,7873.30158730159,15291
1806,Quero,14716,28799183.8510344,28799183.8510344,1259964.7474,21120,11469.8235294118,20485
1807,San Pedro De Pelileo,46327,183452414.156439,183452414.156439,1356227.6308,2073776,33388.8288288288,64427
1808,Santiago De Píllaro,31162,109554219.139352,109554219.139352,2517871.5136,6999,24201.4158075601,42386
1809,Tisaleo,10128,26421935.9347275,26421935.9347275,646075.4141,1,,13807
1901,Zamora,20863,110343374.311541,110343374.311541,12186430.22881,26180,15407.5404120444,30968
1902,Chinchipe,6680,16644803.5806124,16644803.5806124,1452760.86565,5140,4386.43776824034,10390
1903,Nangaritza,4078,11244132.4544065,11244132.4544065,444835.47808,1000,3275.77049180328,7153
1904,Yacuambí,3938,10211149.4709133,10211149.4709133,961476.99913,1200,3489.3670886076,6840
1905,Yanzatza,15127,68769381.6691086,68769381.6691086,2138281.54117,1558355,10707.8764044944,24246
1906,El Pangui,6143,23664514.0109252,23664514.0109252,1265101.47539,23100,4773.13240418118,10382
1907,Centinela Del Cóndor,4936,15226228.008894,15226228.008894,689506.77,6050,3508.23140495868,7861
1908,Palanda,5848,14487299.8507591,14487299.8507591,441948.20382,2000,4545.81376518219,9660
1909,Paquisha,3285,6891279.82235742,6891279.82235742,768688.2,2700,2398.57142857143,5335
2001,San Cristóbal,6444,58238642.4347295,58238642.4347295,177155.84,32000,5068.75609756098,9085
2002,Isabela,1929,13677668.1088143,13677668.1088143,1531816.4932,111800,1691.17808219178,2842
2003,Santa Cruz,13440,170774522.043673,170774522.043673,6038444.7309,1312433,10782.202247191,18963
2101,Lago Agrio,74594,421694169.823575,828616495.877131,10499410.68,3839215,48506.7631578947,111956
2102,Gonzalo Pizarro,6320,20714351.9216691,20714351.9216691,2370942.0866,1600,3826.78899082569,9706
2103,Putumayo,8855,12179279.7024635,125887526.421303,1177743.35565,800,5241.75287356322,14188
2104,Shushufindi,36347,178162249.500399,372508542.224048,11348043.47837,41193,22536.6576200418,54200
2105,Sucumbíos,2563,7394384.17798063,7394384.17798063,440921.547,1,,3737
2106,Cascales,8992,25629904.7019155,25629904.7019155,1294508.18,1,5138.28571428571,14442
2107,Cuyabeno,4758,21685008.7232018,128069321.608189,2490079.46,11600,3294,7270
2201,Orellana,53995,215125683.843961,878803306.424934,26118235.2628,2583099,37971.3039568345,88106
2202,Aguarico,2395,11888485.6321665,11888485.6321665,2502463.5454,800,1995.83333333333,4040
2203,La Joya De Los Sachas,24946,151197790.668702,2986320718.55158,5476011.4234,621312,18670.6674968867,39453
2204,Loreto,13165,58338767.3329414,58338767.3329414,8105214.9333,3601,10908.1428571429,23854
2301,Santo Domingo,297968,1764299100.43894,1764299100.43894,32691516.50014,8975264,193005.126500462,434849
2302,La Concordia,32401,121913902.387246,121913902.387246,30064172.0824,40148,23009.4057971015,50241
2401,Santa Elena,118143,417373082.275698,479621071.233822,11444252.5437,10617958,68774.6536082474,176373
2402,La Libertad,75014,329570599.016129,557545071.400722,9242068.98,196475,48133.1746442432,112282
2403,Salinas,58219,321671376.494761,321671376.494761,5168848.269,354704,33813.1692073171,86991
