MES;IPC;IR;M1;GP;RI
ene-15;101.24;;18052.32801;2249.037044;3654.688002
feb-15;101.86;;17847.90536;3168.478528;3717.301389
mar-15;102.28;;18282.96942;3349.023328;3667.736661
abr-15;103.14;;18172.62605;2984.462298;3439.927531
may-15;103.32;;18157.93674;3460.939884;4567.459056
jun-15;103.74;;18279.71774;3503.961238;4739.191386
jul-15;103.66;;18601.87538;3244.212737;4771.966365
ago-15;103.66;;18772.18458;2851.639455;4201.407863
sep-15;103.93;;18429.3076;3143.245984;3511.564106
oct-15;103.84;;18436.04458;3252.911785;3308.362983
nov-15;103.95;;18482.32713;2885.920062;3126.319721
dic-15;104.05;;19041.65312;5167.879881;2495.956626
ene-16;104.37;100.4008224;18841.47686;2347.016024;3207.359381
feb-16;104.51;101.6638453;19250.48112;2749.654585;3341.642234
mar-16;104.65;97.49102021;19534.07527;2991.322776;2573.06831
abr-16;104.97;100.2651903;19551.04337;2693.428205;2485.023691
may-16;105.01;101.4464709;19867.40618;2588.57063;2158.551535
jun-16;105.38;99.16258331;20216.58834;2901.233488;3433.759376
jul-16;105.29;102.1653244;20253.3208;2686.989899;4295.855472
ago-16;105.12;100.4339112;20631.44966;3228.223226;4166.720048
sep-16;105.28;99.85062208;20794.53934;3382.787438;4472.928412
oct-16;105.20;103.4552372;20805.08093;3098.463778;4274.625714
nov-16;105.04;108.4565051;21140.032;3420.255318;3907.337218
dic-16;105.21;107.0673829;22634.8009;5539.693369;4258.849946
ene-17;105.30;103.9512121;21912.18602;2274.800079;4889.053604
feb-17;105.51;116.0017077;22193.52304;2888.143361;4774.364117
mar-17;105.66;100.3248665;23032.9418;3808.627947;3809.618426
abr-17;106.12;113.9483132;22842.29814;3112.816898;3236.121601
may-17;106.17;106.2640571;22703.75142;2849.542588;2790.041144
jun-17;105.55;101.5854976;22824.90834;3040.667784;4467.14641
jul-17;105.40;106.4123922;22812.3035;2637.764764;4260.912299
ago-17;105.42;102.5321177;22992.92851;2999.925772;3650.480826
sep-17;105.26;105.7349228;22779.33478;3054.067567;2362.376838
oct-17;105.10;106.1458787;23149.96864;2781.576192;4806.589172
nov-17;104.82;112.0584427;23657.00414;3191.717779;4018.466981
dic-17;105.00;116.1218725;24530.51172;5439.819742;2451.065793
ene-18;105.20;106.1236782;23951.92921;2302.953083;5706.587361
feb-18;105.37;121.3831323;24065.58739;2721.568361;5406.784875
mar-18;105.43;108.4083415;24427.1909;3651.857268;4868.082556
abr-18;105.29;112.4498369;23979.42414;3336.809743;4260.353498
may-18;105.09;109.110129;23880.57901;3215.864564;3752.034904
jun-18;104.81;108.3210418;24057.50286;3303.358251;3166.738374
jul-18;104.80;105.7270627;23983.44097;3183.093412;3128.466469
ago-18;105.08;105.4690514;24297.85051;3391.36788;3050.197573
sep-18;105.50;111.9406652;24092.29003;3678.604817;2693.006167
oct-18;105.45;104.6737765;24261.75466;3282.411944;2730.363601
nov-18;105.18;113.4327042;24542.60398;3183.044993;2382.239099
dic-18;105.28;125.8069198;25259.94239;6141.869092;2676.524972
ene-19;105.77;106.2615884;24643.71355;2706.679418;3635.852156
feb-19;105.53;114.1935679;24901.06293;2782.427189;3281.818429
mar-19;105.31;116.8959035;24995.88643;3270.289959;3972.841681
abr-19;105.49;110.1362949;24883.39296;3267.004967;3488.324055
may-19;105.48;110.7432946;24695.29138;3213.368711;4083.614972
jun-19;105.45;111.9904595;24720.53817;3110.306969;4095.262397
jul-19;105.54;102.1312742;24921.38667;3328.700066;3772.458498
ago-19;105.43;109.1215116;25033.93585;3134.70963;3808.386545
sep-19;105.42;108.9468277;24989.00203;3297.891642;5130.373703
oct-19;105.97;105.7128438;25209.83873;3000.000765;4097.849466
nov-19;105.22;117.5294219;25363.3496;3087.199609;3178.708522
dic-19;105.21;117.1297069;26196.71065;5192.806585;3397.108599
ene-20;105.45;105.9022787;25715.6477;2859.01696;3568.029751
feb-20;105.29;118.3499359;26136.50767;2756.410888;3280.399361
mar-20;105.50;118.4951837;26319.27779;3027.835916;1990.168458
abr-20;106.56;144.353129;26715.36223;2618.230966;2860.474235
may-20;106.28;120.9242595;27138.48095;2663.739214;3402.032291
jun-20;105.62;108.7269585;27401.06017;2663.497424;2665.608541
jul-20;104.97;103.5321118;27144.52154;2835.291306;3039.952346
ago-20;104.63;111.688828;27274.79494;3172.476446;3257.813392
sep-20;104.47;107.3713721;27283.20763;2495.62351;3442.982341
oct-20;104.27;110.7168531;27320.85321;2914.971294;5517.619391
nov-20;104.26;119.2766383;27491.45524;2877.191687;5066.61507
dic-20;104.23;113.2891775;28409.49631;4549.288324;7195.654421
ene-21;104.35;114.5303849;27826.33407;2207.39647;6590.86154
feb-21;104.44;122.9024183;27818.04666;2264.091849;5790.926871
mar-21;104.63;105.4492253;28433.19072;3330.344714;5779.174068
abr-21;104.99;;28241.92977;;5788.493863
may-21;105.08;;;;5923.26996