CODIGO;NOM_CANT;NO_POBRES; POBRES;Total;NO_POBRES_P; POBRES_P
101;CUENCA;307271;189913;497184;0.618;0.382
102;GIRON;4547;7874;12421;0.366;0.634
103;GUALACEO;13006;29354;42360;0.307;0.693
104;NABON;1930;13922;15852;0.122;0.878
105;PAUTE;7558;17701;25259;0.299;0.701
106;PUCARA;856;9134;9990;0.086;0.914
107;SAN FERNANDO;1714;2256;3970;0.432;0.568
108;SANTA ISABEL;6114;12127;18241;0.335;0.665
109;SIGSIG;5373;21438;26811;0.2;0.8
110;OÑA;606;2961;3567;0.17;0.83
111;CHORDELEG;4201;8308;12509;0.336;0.664
112;EL PAN;1142;1870;3012;0.379;0.621
113;SEVILLA DE ORO;1628;3967;5595;0.291;0.709
114;GUACHAPALA;1258;2125;3383;0.372;0.628
115;CAMILO PONCE ENRIQUEZ;4671;15123;19794;0.236;0.764
201;GUARANDA;20108;70941;91049;0.221;0.779
202;CHILLANES;2590;14695;17285;0.15;0.85
203;SAN JOSE DE CHIMBO;4060;11500;15560;0.261;0.739
204;ECHEANDIA;3962;8093;12055;0.329;0.671
205;SAN MIGUEL;6820;20282;27102;0.252;0.748
206;CALUMA;4661;8378;13039;0.357;0.643
207;LAS NAVES;897;5155;6052;0.148;0.852
301;AZOGUES;31287;37970;69257;0.452;0.548
302;BIBLIAN;5984;14708;20692;0.289;0.711
303;CAÑAR;14277;44489;58766;0.243;0.757
304;LA TRONCAL;15835;38220;54055;0.293;0.707
305;EL TAMBO;2971;6457;9428;0.315;0.685
306;DELEG;1528;4530;6058;0.252;0.748
307;SUSCAL;772;4175;4947;0.156;0.844
401;TULCAN;44799;40233;85032;0.527;0.473
402;BOLIVAR;3078;11257;14335;0.215;0.785
403;ESPEJO;4816;8460;13276;0.363;0.637
404;MIRA;3071;9065;12136;0.253;0.747
405;MONTUFAR;11245;19175;30420;0.37;0.63
406;SAN PEDRO DE HUACA;2719;4859;7578;0.359;0.641
501;LATACUNGA;59313;108493;167806;0.353;0.647
502;LA MANA;11590;30361;41951;0.276;0.724
503;PANGUA;2177;19688;21865;0.1;0.9
504;PUJILI;8455;60432;68887;0.123;0.877
505;SALCEDO;14284;43664;57948;0.246;0.754
506;SAQUISILI;3962;21321;25283;0.157;0.843
507;SIGCHOS;1371;20515;21886;0.063;0.937
601;RIOBAMBA;118774;103056;221830;0.535;0.465
602;ALAUSI;5621;38039;43660;0.129;0.871
603;COLTA;3018;41820;44838;0.067;0.933
604;CHAMBO;3537;8244;11781;0.3;0.7
605;CHUNCHI;3125;9423;12548;0.249;0.751
606;GUAMOTE;2019;43079;45098;0.045;0.955
607;GUANO;8108;34503;42611;0.19;0.81
608;PALLATANGA;1735;9771;11506;0.151;0.849
609;PENIPE;1733;4863;6596;0.263;0.737
610;CUMANDA;3984;8855;12839;0.31;0.69
701;MACHALA;104306;137941;242247;0.431;0.569
702;ARENILLAS;7387;18845;26232;0.282;0.718
703;ATAHUALPA;2356;3431;5787;0.407;0.593
704;BALSAS;2076;4751;6827;0.304;0.696
705;CHILLA;398;2083;2481;0.16;0.84
706;EL GUABO;12755;36797;49552;0.257;0.743
707;HUAQUILLAS;12500;35343;47843;0.261;0.739
708;MARCABELI;2534;2847;5381;0.471;0.529
709;PASAJE;29470;42475;71945;0.41;0.59
710;PIÑAS;11341;14497;25838;0.439;0.561
711;PORTOVELO;4909;7200;12109;0.405;0.595
712;SANTA ROSA;29603;38556;68159;0.434;0.566
713;ZARUMA;8885;15000;23885;0.372;0.628
714;LAS LAJAS;1342;3408;4750;0.283;0.717
801;ESMERALDAS;80353;106598;186951;0.43;0.57
802;ELOY ALFARO;2178;37391;39569;0.055;0.945
803;MUISNE;491;27942;28433;0.017;0.983
804;QUININDE;10997;111295;122292;0.09;0.91
805;SAN LORENZO;6489;35619;42108;0.154;0.846
806;ATACAMES;8297;32815;41112;0.202;0.798
807;RIOVERDE;625;26206;26831;0.023;0.977
808;LA CONCORDIA;5556;37180;42736;0.13;0.87
901;GUAYAQUIL;1204847;1110678;2315525;0.52;0.48
902;ALFREDO BAQUERIZO MORENO;2605;22502;25107;0.104;0.896
903;BALAO;3032;17294;20326;0.149;0.851
904;BALZAR;5017;48734;53751;0.093;0.907
905;COLIMES;1690;21667;23357;0.072;0.928
906;DAULE;29849;89751;119600;0.25;0.75
907;DURAN;75256;158588;233844;0.322;0.678
908;EL EMPALME;6550;67542;74092;0.088;0.912
909;EL TRIUNFO;8135;36396;44531;0.183;0.817
910;MILAGRO;48527;117072;165599;0.293;0.707
911;NARANJAL;16309;51413;67722;0.241;0.759
912;NARANJITO;11515;25426;36941;0.312;0.688
913;PALESTINA;2770;13229;15999;0.173;0.827
914;PEDRO CARBO;2523;40815;43338;0.058;0.942
916;SAMBORONDON;32394;34908;67302;0.481;0.519
918;SANTA LUCIA;3218;35620;38838;0.083;0.917
919;URBINA JADO;3294;54017;57311;0.057;0.943
920;YAGUACHI;11256;49236;60492;0.186;0.814
921;PLAYAS;13027;28564;41591;0.313;0.687
922;SIMON BOLIVAR;2454;22960;25414;0.097;0.903
923;CORONEL MARCELINO MARIDUEÑA;2856;9056;11912;0.24;0.76
924;LOMAS DE SARGENTILLO;2116;16204;18320;0.116;0.884
925;NOBOL;4949;14556;19505;0.254;0.746
927;GENERAL ANTONIO ELIZALDE;3323;7280;10603;0.313;0.687
928;ISIDRO AYORA;599;10253;10852;0.055;0.945
1001;IBARRA;107943;71273;179216;0.602;0.398
1002;ANTONIO ANTE;20323;23003;43326;0.469;0.531
1003;COTACACHI;10855;28994;39849;0.272;0.728
1004;OTAVALO;34045;70424;104469;0.326;0.674
1005;PIMAMPIRO;3712;9231;12943;0.287;0.713
1006;SAN MIGUEL DE URCUQUI;4286;11316;15602;0.275;0.725
1101;LOJA;119238;92135;211373;0.564;0.436
1102;CALVAS;8290;19341;27631;0.3;0.7
1103;CATAMAYO;11070;19239;30309;0.365;0.635
1104;CELICA;3402;10595;13997;0.243;0.757
1105;CHAGUARPAMBA;1043;5968;7011;0.149;0.851
1106;ESPINDOLA;1441;13205;14646;0.098;0.902
1107;GONZANAMA;1822;10866;12688;0.144;0.856
1108;MACARA;6847;11709;18556;0.369;0.631
1109;PALTAS;3998;19661;23659;0.169;0.831
1110;PUYANGO;3509;11889;15398;0.228;0.772
1111;SARAGURO;3965;26098;30063;0.132;0.868
1112;SOZORANGA;711;6746;7457;0.095;0.905
1113;ZAPOTILLO;1312;10926;12238;0.107;0.893
1114;PINDAL;1197;7428;8625;0.139;0.861
1115;QUILANGA;669;3648;4317;0.155;0.845
1116;OLMEDO;492;4370;4862;0.101;0.899
1201;BABAHOYO;41604;110250;151854;0.274;0.726
1202;BABA;2818;36807;39625;0.071;0.929
1203;MONTALVO;5440;18508;23948;0.227;0.773
1204;PUEBLOVIEJO;5961;30404;36365;0.164;0.836
1205;QUEVEDO;50158;121925;172083;0.291;0.709
1206;URDANETA;3755;25437;29192;0.129;0.871
1207;VENTANAS;10444;55876;66320;0.157;0.843
1208;VINCES;11914;59488;71402;0.167;0.833
1209;PALENQUE;1778;20484;22262;0.08;0.92
1210;BUENA FE;15065;47416;62481;0.241;0.759
1211;VALENCIA;4174;38198;42372;0.099;0.901
1212;MOCACHE;3724;34584;38308;0.097;0.903
1213;QUINSALOMA;1838;14592;16430;0.112;0.888
1301;PORTOVIEJO;96159;180776;276935;0.347;0.653
1302;BOLIVAR;4159;35619;39778;0.105;0.895
1303;CHONE;23898;101823;125721;0.19;0.81
1304;EL CARMEN;17272;71237;88509;0.195;0.805
1305;FLAVIO ALFARO;1411;23587;24998;0.056;0.944
1306;JIPIJAPA;11760;58869;70629;0.167;0.833
1307;JUNIN;2640;16272;18912;0.14;0.86
1308;MANTA;100963;122800;223763;0.451;0.549
1309;MONTECRISTI;6747;63403;70150;0.096;0.904
1310;PAJAN;2015;34865;36880;0.055;0.945
1311;PICHINCHA;2095;28115;30210;0.069;0.931
1312;ROCAFUERTE;7208;26082;33290;0.217;0.783
1313;SANTA ANA;7105;40135;47240;0.15;0.85
1314;SUCRE;9570;46989;56559;0.169;0.831
1315;TOSAGUA;5936;32153;38089;0.156;0.844
1316;24 DE MAYO;1459;27338;28797;0.051;0.949
1317;PEDERNALES;3457;51442;54899;0.063;0.937
1318;OLMEDO;255;9588;9843;0.026;0.974
1319;PUERTO LOPEZ;1388;18860;20248;0.069;0.931
1320;JAMA;2240;20757;22997;0.097;0.903
1321;JARAMIJO;3689;14511;18200;0.203;0.797
1322;SAN VICENTE;3145;18658;21803;0.144;0.856
1401;MORONA;13771;26442;40213;0.342;0.658
1402;GUALAQUIZA;5020;11599;16619;0.302;0.698
1403;LIMON INDANZA;1989;7561;9550;0.208;0.792
1404;PALORA;2310;4592;6902;0.335;0.665
1405;SANTIAGO;2466;6457;8923;0.276;0.724
1406;SUCUA;6645;11516;18161;0.366;0.634
1407;HUAMBOYA;397;7999;8396;0.047;0.953
1408;SAN JUAN BOSCO;1047;2796;3843;0.272;0.728
1409;TAISHA;243;17832;18075;0.013;0.987
1410;LOGROÑO;719;5000;5719;0.126;0.874
1411;PABLO VI;455;1365;1820;0.25;0.75
1412;TIWINTZA;259;6035;6294;0.041;0.959
1501;TENA;13414;46248;59662;0.225;0.775
1503;ARCHIDONA;2839;21898;24737;0.115;0.885
1504;EL CHACO;2727;5134;7861;0.347;0.653
1507;QUIJOS;2211;3728;5939;0.372;0.628
1509;CARLOS JULIO AROSEMENA;575;3053;3628;0.158;0.842
1601;PASTAZA;19987;41007;60994;0.328;0.672
1602;MERA;4019;6927;10946;0.367;0.633
1603;SANTA CLARA;574;2986;3560;0.161;0.839
1604;ARAJUNO;278;6208;6486;0.043;0.957
1701;QUITO;1563772;659233;2223005;0.703;0.297
1702;CAYAMBE;28256;57172;85428;0.331;0.669
1703;MEJIA;33791;47234;81025;0.417;0.583
1704;PEDRO MONCAYO;9297;23807;33104;0.281;0.719
1705;RUMIÑAHUI;58424;27025;85449;0.684;0.316
1707;SAN MIGUEL DE LOS BANCOS;4140;12972;17112;0.242;0.758
1708;PEDRO VICENTE MALDONADO;3460;9432;12892;0.268;0.732
1709;PUERTO QUITO;1327;19108;20435;0.065;0.935
1801;AMBATO;165171;161988;327159;0.505;0.495
1802;BAÑOS;10769;8654;19423;0.554;0.446
1803;CEVALLOS;3612;4520;8132;0.444;0.556
1804;MOCHA;2111;4646;6757;0.312;0.688
1805;PATATE;3515;9932;13447;0.261;0.739
1806;QUERO;2976;16183;19159;0.155;0.845
1807;SAN PEDRO DE PELILEO;13665;42697;56362;0.242;0.758
1808;SANTIAGO DE PILLARO;11071;27149;38220;0.29;0.71
1809;TISALEO;2372;9755;12127;0.196;0.804
1901;ZAMORA;9641;14782;24423;0.395;0.605
1902;CHINCHIPE;1720;7099;8819;0.195;0.805
1903;NANGARITZA;1170;3997;5167;0.226;0.774
1904;YACUAMBI;589;5237;5826;0.101;0.899
1905;YANTZAZA;4908;13477;18385;0.267;0.733
1906;EL PANGUI;2114;6487;8601;0.246;0.754
1907;CENTINELA DEL CONDOR;1639;4768;6407;0.256;0.744
1908;PALANDA;1238;6811;8049;0.154;0.846
1909;PAQUISHA;394;3438;3832;0.103;0.897
2001;SAN CRISTOBAL;4002;2910;6912;0.579;0.421
2002;ISABELA;1024;1129;2153;0.476;0.524
2003;SANTA CRUZ;6029;7939;13968;0.432;0.568
2101;LAGO AGRIO;11929;79035;90964;0.131;0.869
2102;GONZALO PIZARRO;1566;6685;8251;0.19;0.81
2103;PUTUMAYO;813;8809;9622;0.084;0.916
2104;SHUSHUFINDI;5195;36863;42058;0.124;0.876
2105;SUCUMBIOS;717;2669;3386;0.212;0.788
2106;CASCALES;1658;9241;10899;0.152;0.848
2107;CUYABENO;361;6157;6518;0.055;0.945
2201;ORELLANA;13860;56623;70483;0.197;0.803
2202;AGUARICO;302;4166;4468;0.068;0.932
2203;LA JOYA DE LOS SACHAS;4358;32287;36645;0.119;0.881
2204;LORETO;1368;19690;21058;0.065;0.935
2301;SANTO DOMINGO DE LOS TSACHILAS;94008;272700;366708;0.256;0.744
2401;SANTA ELENA;27353;115402;142755;0.192;0.808
2402;LIBERTAD;31436;63758;95194;0.33;0.67
2403;SALINAS;26072;40860;66932;0.39;0.61
9001;LAS GOLONDRINAS;303;4991;5294;0.057;0.943
9003;MANGA DEL CURA;767;19967;20734;0.037;0.963
9004;EL PIEDRERO;1061;5200;6261;0.169;0.831