Trimestres;PIB;IMPOR;OF;DI;GCFH;GCFGC;FBKF;VE;EXPOR;UF
2000.I;9134587;1670064;10804651;8010469;5611570;1141204;1324528;-66833;2794182;10804651
2000.II;9320414;1704978;11025392;8198851;5728145;1159906;1403726;-92926;2826541;11025392
2000.III;9548491;1863174;11411665;8579409;5846313;1180131;1499091;53874;2832256;11411665
2000.IV;9722918;2069367;11792285;8996834;5980511;1210666;1626448;179209;2795451;11792285
2001.I;9699363;2260771;11960134;9125177;6121143;1124607;1683228;196199;2834957;11960134
2001.II;9802413;2205560;12007973;9226563;6179534;1134726;1719092;193211;2781410;12007973
2001.III;9809483;2274274;12083757;9356325;6229424;1130148;1782603;214150;2727432;12083757
2001.IV;9930104;2446663;12376767;9650666;6369298;1146491;1854631;280246;2726101;12376767
2002.I;10063566;2870923;12934489;10214852;6563537;1149300;2132387;369628;2719637;12934489
2002.II;10205818;2778136;12983954;10151057;6627661;1156927;2050561;315908;2832897;12983954
2002.III;10274208;2673863;12948071;10128016;6714019;1163350;2052365;198282;2820055;12948071
2002.IV;10305402;2611304;12916706;10150343;6756119;1173595;2077857;142772;2766363;12916706
2003.I;10440088;2933578;13373666;10589475;6963349;1152356;2301805;171965;2784191;13373666
2003.II;10240791;2638740;12879531;10041688;6879152;1167376;2090062;-94902;2837843;12879531
2003.III;10464381;2468818;12933199;9898383;6817149;1180502;1974975;-74243;3034816;12933199
2003.IV;10816002;2449195;13265197;9979957;6801939;1196468;1977666;3884;3285240;13265197
2004.I;11091411;2871890;13963301;10680681;7210235;1209014;2195853;65579;3282620;13963301
2004.II;11282549;2803313;14085862;10534842;7189610;1222907;2151597;-29272;3551020;14085862
2004.III;11403289;2913380;14316669;10742765;7326390;1233879;2176673;5823;3573904;14316669
2004.IV;11629461;3042771;14672232;11086229;7502734;1241345;2261008;81142;3586003;14672232
2005.I;11771814;3369653;15141467;11409939;7501717;1270742;2420343;217137;3731528;15141467
2005.II;11936392;3398718;15335110;11541784;7619513;1260510;2489052;172709;3793326;15335110
2005.III;11951919;3213563;15165482;11358821;7634650;1271608;2413061;39502;3806661;15165482
2005.IV;12149194;3323793;15472987;11602887;7767261;1278530;2406536;150560;3870100;15472987
2006.I;12278116;3667057;15945173;11909990;7846653;1282502;2584061;196774;4035183;15945173
2006.II;12447026;3649214;16096240;12025242;7925244;1297992;2564933;237073;4070998;16096240
2006.III;12592998;3613860;16206858;12159542;7992370;1321123;2551535;294514;4047316;16206858
2006.IV;12596475;3676033;16272508;12141123;8087266;1372615;2513289;167953;4131385;16272508
2007.I;12548685;3984250;16532935;12563850;8183831;1392154;2723245;264620;3969085;16532935
2007.II;12641374;3847272;16488646;12483042;8224323;1430188;2616530;212001;4005604;16488646
2007.III;12821498;3901662;16723160;12540742;8350010;1391983;2602698;196051;4182418;16723160
2007.IV;12996220;3903439;16899659;12769081;8443114;1359884;2651474;314609;4130578;16899659
2008.I;13203590;4405473;17609063;13334287;8504226;1507869;2879303;442889;4274776;17609063
2008.II;13437956;4563811;18001767;13715669;8702404;1533769;2978775;500721;4286098;18001767
2008.III;13689235;4566615;18255850;14137078;8843861;1567409;3147200;578608;4118772;18255850
2008.IV;13919627;4358529;18278156;14184101;8944365;1582301;3280937;376498;4094055;18278156
2009.I;13721197;4096763;17817960;13839148;8684315;1649246;3116030;389557;3978812;17817960
2009.II;13663730;3864607;17528337;13595043;8580608;1694034;2936507;383894;3933294;17528337
2009.III;13579505;3916485;17495990;13450642;8624846;1763779;2886989;175028;4045348;17495990
2009.IV;13593300;4241573;17834873;13821809;8758627;1803195;2903803;356184;4013064;17834873
2010.I;13729815;4455065;18184880;14236869;9114070;1775081;3090304;257414;3948011;18184880
2010.II;13946256;4662061;18608317;14547615;9262431;1770696;3213729;300759;4060702;18608317
2010.III;14175891;4695215;18871106;14985244;9392453;1806521;3316643;469627;3885862;18871106
2010.IV;14629093;4696647;19325740;15287658;9551681;1861207;3429472;445298;4038082;19325740
2011.I;14790364;4763357;19553721;15411649;9628347;1873436;3569862;340004;4142072;19553721
2011.II;15176741;4754509;19931250;15795867;9766589;1975903;3667959;385416;4135383;19931250
2011.III;15409103;4819918;20229021;15949444;9884927;1969328;3787621;307568;4279577;20229021
2011.IV;15548856;4846119;20394975;16116325;9954766;2022215;3895349;243995;4278650;20394975
2012.I;15798590;4762891;20561481;16167679;9925286;2126916;3994847;120630;4393802;20561481
2012.II;16072842;4817886;20890728;16418791;10092714;2132933;4094112;99032;4471937;20890728
2012.III;16196959;4904123;21101082;16652906;10142977;2180245;4188875;140809;4448176;21101082
2012.IV;16294042;4859162;21153204;16711101;10200903;2271998;4218334;19866;4442103;21153204
2013.I;16458713;5134397;21593110;17173706;10294947;2352232;4456627;69900;4419404;21593110
2013.II;16802240;5332142;22134382;17609324;10526381;2401796;4576320;104827;4525058;22134382
2013.III;17131619;5220815;22352434;17740362;10535794;2433480;4624561;146527;4612072;22352434
2013.IV;17153556;5004209;22157765;17504019;10585156;2422255;4556586;-59978;4653746;22157765
2014.I;17096076;5071785;22167861;17490040;10491498;2402505;4507001;89036;4677821;22167861
2014.II;17494063;5394893;22888956;18033006;10734866;2568536;4574171;155433;4855950;22888956
2014.III;17736022;5607201;23343223;18520978;10912659;2596099;4752801;259419;4822245;23343223
2014.IV;17779201;5601486;23380687;18394667;10949818;2685183;4792365;-32699;4986020;23380687
2015.I;17816050;5503229;23319279;18357797;10991124;2650692;4662570;53411;4961482;23319279
2015.II;17537769;5067061;22604830;17836913;10800258;2630538;4385434;20683;4767917;22604830
2015.III;17492225;4774845;22267070;17482485;10700896;2634207;4240543;-93161;4784585;22267070
2015.IV;17328633;4562216;21890849;17186065;10556968;2556360;4176733;-103996;4704784;21890849
2016.I;17204627;4446370;21650997;16862051;10435372;2612658;4050859;-236838;4788946;21650997
2016.II;17328097;4368593;21696690;16798696;10424941;2628205;3960281;-214731;4897994;21696690
2016.III;17310908;4487944;21798852;16875789;10542320;2598395;3953201;-218127;4923063;21798852
2016.IV;17470434;4689290;22159724;17277845;10608933;2614639;3952763;101510;4881879;22159724
2017.I;17497935;4847348;22345283;17471891;10759891;2670662;4104274;-62936;4873392;22345283
2017.II;17685968;4982000;22667968;17750534;10816040;2672139;4171809;90546;4917434;22667968
2017.III;17819405;5121848;22941253;17999660;10922922;2713251;4230772;132715;4941593;22941253
2017.IV;17952383;5242600;23194983;18295755;11078702;2733955;4255444;227654;4899228;23194983
2018.I;17762564;5280576;23043140;18066160;10943529;2733137;4274960;114534;4976980;23043140
2018.II;17943194;5188314;23131508;18198478;11046394;2795010;4292930;64144;4933030;23131508
2018.III;18080826;5307135;23387961;18425574;11189794;2794099;4313990;127691;4962387;23387961
2018.IV;18083933;5307144;23391077;18405265;11307325;2844942;4211127;41871;4985812;23391077
2019.I;17970651;5354583;23325234;18338888;11153387;2740228;4128725;316548;4986346;23325234
2019.II;18009165;5367090;23376255;18168033;11148536;2760664;4085013;173820;5208222;23376255
2019.III;18075353;5336578;23411931;18182999;11180116;2720778;4195374;86731;5228932;23411931
2019.IV;17824048;5093114;22917162;17758497;11133554;2723654;4119638;-218349;5158665;22917162
2020.I;17627306;5388324;23015630;17837182;11083764;2704678;3996485;52255;5178448;23015630
2020.II;15709655;4319103;20028758;15609074;9847019;2514435;3359140;-111520;4419684;20028758
2020.III;16439169;4698902;21138071;15900633;10182225;2516966;3559745;-358303;5237438;21138071
2020.IV;16532359;5077732;21610091;16301248;10385181;2538849;3643982;-266764;5308843;21610091